from_stop_id,to_stop_id,transfer_type,min_transfer_time
1606209,1389878,2,263
1606209,1450690,2,263
1389879,1450691,2,28
1389879,1450692,2,28
1450691,1389879,2,28
1450691,1450692,2,56
1450692,1389879,2,28
1450692,1450691,2,56
1389893,1535417,2,292
1389893,1606208,2,292
1389893,1450712,2,0
1389893,1389878,2,230
1389893,1450690,2,230
1389893,1389882,2,244
1389893,1450694,2,244
1450712,1535417,2,292
1450712,1606208,2,292
1450712,1389893,2,0
1450712,1389878,2,230
1450712,1450690,2,230
1450712,1389882,2,244
1450712,1450694,2,244
1389878,1535417,2,152
1389878,1606208,2,152
1389878,1606209,2,263
1389878,1389893,2,230
1389878,1450712,2,230
1389878,1450690,2,0
1389878,1389882,2,232
1389878,1450694,2,232
1450690,1535417,2,152
1450690,1606208,2,152
1450690,1606209,2,263
1450690,1389893,2,230
1450690,1450712,2,230
1450690,1389878,2,0
1450690,1389882,2,232
1450690,1450694,2,232
1389882,1389893,2,244
1389882,1450712,2,244
1389882,1389878,2,232
1389882,1450690,2,232
1389882,1450694,2,0
1450694,1389893,2,244
1450694,1450712,2,244
1450694,1389878,2,232
1450694,1450690,2,232
1450694,1389882,2,0
654084,703791,2,18
654084,703792,2,18
703791,654084,2,18
703791,703792,2,36
703792,654084,2,18
703792,703791,2,36
654078,703779,2,15
654078,703780,2,15
703779,654078,2,15
703779,703780,2,30
703780,654078,2,15
703780,703779,2,30
654082,703787,2,36
654082,703788,2,36
703787,654082,2,36
703787,703788,2,71
703788,654082,2,36
703788,703787,2,71
771579,824562,2,7
771579,824563,2,7
824562,771579,2,7
824562,824563,2,13
824563,771579,2,7
824563,824562,2,13
771578,824560,2,6
771578,824561,2,6
824560,771578,2,6
824560,824561,2,11
824561,771578,2,6
824561,824560,2,11
959952,1015161,2,38
959952,1015162,2,38
1015161,959952,2,38
1015161,1015162,2,75
1015162,959952,2,38
1015162,1015161,2,75
1015162,1015163,2,280
959953,1015163,2,103
959953,1015164,2,103
1015163,1015162,2,280
1015163,959953,2,103
1015163,1015164,2,206
1015164,959953,2,103
1015164,1015163,2,206
959956,1015169,2,17
959956,1015170,2,17
1015169,959956,2,17
1015169,1015170,2,33
1015170,959956,2,17
1015170,1015169,2,33
1497426,1559110,2,41
1497426,1559109,2,41
1559110,1497426,2,41
1559110,1559109,2,82
1559109,1497426,2,41
1559109,1559110,2,82
1497428,1559114,2,26
1497428,1559113,2,26
1559114,1497428,2,26
1559114,1559113,2,52
1559113,1497428,2,26
1559113,1559114,2,52
1497427,1559112,2,66
1497427,1559111,2,66
1559112,1497427,2,66
1559112,1559111,2,132
1559111,1497427,2,66
1559111,1559112,2,132
654068,79848,2,45
654068,703763,2,0
703763,79848,2,45
703763,654068,2,0
1428592,1491086,2,32
1428592,1491087,2,32
1491086,1428592,2,32
1491086,1491087,2,64
1491087,1428592,2,32
1491087,1491086,2,64
1428591,1491084,2,20
1428591,1491085,2,20
1491084,1428591,2,20
1491084,1491085,2,39
1491085,1428591,2,20
1491085,1491084,2,39
1428590,1491082,2,26
1428590,1491083,2,26
1491082,1428590,2,26
1491082,1491083,2,52
1491083,1428590,2,26
1491083,1491082,2,52
1428596,1491094,2,75
1428596,1491095,2,75
1491094,1428596,2,75
1491094,1491095,2,149
1491095,1428596,2,75
1491095,1491094,2,149
1428595,1491092,2,38
1428595,1491093,2,38
1491092,1428595,2,38
1491092,1491093,2,76
1491093,1428595,2,38
1491093,1491092,2,76
1428594,1491090,2,29
1428594,1491091,2,29
1491090,1428594,2,29
1491090,1491091,2,57
1491091,1428594,2,29
1491091,1491090,2,57
1428593,1491088,2,23
1428593,1491089,2,23
1491088,1428593,2,23
1491088,1491089,2,45
1491089,1428593,2,23
1491089,1491088,2,45
959894,1015054,2,21
959894,1015055,2,21
1015054,959894,2,21
1015054,1015055,2,41
1015055,959894,2,21
1015055,1015054,2,41
1497431,1559120,2,50
1497431,1559119,2,50
1559120,1497431,2,50
1559120,1559119,2,100
1559119,1497431,2,50
1559119,1559120,2,100
959966,1015188,2,88
959966,1015189,2,88
1015188,959966,2,88
1015188,1015189,2,175
1015189,959966,2,88
1015189,1015188,2,175
959969,1015193,2,39
959969,1015194,2,39
1015193,959969,2,39
1015193,1015194,2,78
1015194,959969,2,39
1015194,1015193,2,78
959835,1014944,2,0
959835,959837,2,140
959835,1014947,2,121
959835,1014948,2,159
1014944,959835,2,0
1014944,959837,2,140
1014944,1014947,2,121
1014944,1014948,2,159
959833,1014940,2,11
