stop_id,stop_code,stop_name,stop_lat,stop_lon,stop_url,location_type,parent_station
1491132,3352,Vysoké Tatry Tatr.Lomnica Biela Voda,49.187936,20.292669,http://kolejemalopolskie.kiedyprzyjedzie.pl/3352,0,1428616
1491133,3353,Vysoké Tatry Tatr.Lomnica Biela Voda,49.187908,20.292836,http://kolejemalopolskie.kiedyprzyjedzie.pl/3353,0,1428616
1497424,11571,Wadowice D.A.,49.884984,19.500531,http://kolejemalopolskie.kiedyprzyjedzie.pl/11571,1,
1559106,3376,Wadowice D.A.,49.884984,19.500531,http://kolejemalopolskie.kiedyprzyjedzie.pl/3376,0,1497424
1497423,11570,Wadowice Rondo im Generała Czumy,49.8872965,19.480981,http://kolejemalopolskie.kiedyprzyjedzie.pl/11570,1,
1559105,3374,Wadowice Rondo im Generała Czumy,49.887431,19.481766,http://kolejemalopolskie.kiedyprzyjedzie.pl/3374,0,1497423
1559104,3375,Wadowice Rondo im Generała Czumy,49.887162,19.480196,http://kolejemalopolskie.kiedyprzyjedzie.pl/3375,0,1497423
959820,10845,Waksmund I,49.4790535,20.0857035,http://kolejemalopolskie.kiedyprzyjedzie.pl/10845,1,
1014914,2178,Waksmund I,49.479125,20.08551,http://kolejemalopolskie.kiedyprzyjedzie.pl/2178,0,959820
1014915,2180,Waksmund I,49.478982,20.085897,http://kolejemalopolskie.kiedyprzyjedzie.pl/2180,0,959820
959817,10847,Waksmund III,49.482142,20.072654,http://kolejemalopolskie.kiedyprzyjedzie.pl/10847,1,
1014908,2172,Waksmund III,49.482293,20.072184,http://kolejemalopolskie.kiedyprzyjedzie.pl/2172,0,959817
1014909,2173,Waksmund III,49.481991,20.073124,http://kolejemalopolskie.kiedyprzyjedzie.pl/2173,0,959817
959819,10846,Waksmund II Kościół,49.480744,20.0785535,http://kolejemalopolskie.kiedyprzyjedzie.pl/10846,1,
1014912,2176,Waksmund II Kościół,49.480879,20.078205,http://kolejemalopolskie.kiedyprzyjedzie.pl/2176,0,959819
1014913,2177,Waksmund II Kościół,49.480609,20.078902,http://kolejemalopolskie.kiedyprzyjedzie.pl/2177,0,959819
1497456,11636,Wawrzeńczyce,50.1092265,20.314039,http://kolejemalopolskie.kiedyprzyjedzie.pl/11636,1,
1559167,3510,Wawrzeńczyce,50.108957,20.312991,http://kolejemalopolskie.kiedyprzyjedzie.pl/3510,0,1497456
1559166,3511,Wawrzeńczyce,50.109496,20.315087,http://kolejemalopolskie.kiedyprzyjedzie.pl/3511,0,1497456
1389796,11395,Wawrzeńczyce Bank,50.1107285,20.297512,http://kolejemalopolskie.kiedyprzyjedzie.pl/11395,1,
1450537,3103,Wawrzeńczyce Bank,50.110981,20.297465,http://kolejemalopolskie.kiedyprzyjedzie.pl/3103,0,1389796
1450538,3104,Wawrzeńczyce Bank,50.110476,20.297559,http://kolejemalopolskie.kiedyprzyjedzie.pl/3104,0,1389796
