route_id,service_id,trip_id,trip_headsign,wheelchair_accessible,trip_short_name,direction_id,block_id,shape_id
87151,245259_7953,19216160_7953,Siedlec Centrum,0,,,,
87151,245259_7953,19216161_7953,Siedlec Centrum,0,,,,
87151,245259_7952,19216162_7952,Wieliczka Centrum Dworzec,0,,,,
87151,245259_7952,19216163_7952,Wieliczka Centrum Dworzec,0,,,,
87151,245259_7952,19216164_7952,Wieliczka Centrum Dworzec,0,,,,
87151,245259_7952,19216165_7952,Wieliczka Centrum Dworzec,0,,,,
87151,245259_7952,19216166_7952,Wieliczka Centrum Dworzec,0,,,,
87151,245259_7952,19216167_7952,Wieliczka Centrum Dworzec,0,,,,
87151,245259_7952,19216168_7952,Wieliczka Centrum Dworzec,0,,,,
87151,245259_7954,19216169_7954,Wieliczka Centrum Dworzec,0,,,,
87151,245259_7954,19216170_7954,Wieliczka Centrum Dworzec,0,,,,
87151,245259_7954,19216171_7954,Wieliczka Centrum Dworzec,0,,,,
87151,245259_7953,19216172_7953,Wieliczka Centrum Dworzec,0,,,,
87151,245259_7953,19216173_7953,Wieliczka Centrum Dworzec,0,,,,
87151,245259_7953,19216174_7953,Wieliczka Centrum Dworzec,0,,,,
87151,245259_7953,19216175_7953,Wieliczka Centrum Dworzec,0,,,,
69188,248003_7954,19405677_7954,Szczyrzyc Szpital,0,,,,
69188,248003_7954,19405678_7954,Szczyrzyc Szpital,0,,,,
69188,248003_7954,19405679_7954,Szczyrzyc Szpital,0,,,,
69188,248003_7952,19405680_7952,Szczyrzyc Szpital,0,,,,
69188,248003_7952,19405681_7952,Szczyrzyc Szpital,0,,,,
69188,248003_7952,19405682_7952,Szczyrzyc Szpital,0,,,,
69188,248003_7952,19405683_7952,Szczyrzyc Szpital,0,,,,
69188,248003_7952,19405684_7952,Szczyrzyc Szpital,0,,,,
69188,248003_7952,19405685_7952,Szczyrzyc Szpital,0,,,,
69188,248003_7952,19405686_7952,Szczyrzyc Szpital,0,,,,
69188,248003_7952,19405687_7952,Szczyrzyc Szpital,0,,,,
69188,248003_7953,19405688_7953,Szczyrzyc Szpital,0,,,,
69188,248003_7953,19405689_7953,Szczyrzyc Szpital,0,,,,
69188,248003_7953,19405690_7953,Szczyrzyc Szpital,0,,,,
69188,248003_7953,19405691_7953,Szczyrzyc Szpital,0,,,,
69188,248003_7952,19405692_7952,Wieliczka Centrum Dworzec,0,,,,
69188,248003_7952,19405693_7952,Wieliczka Centrum Dworzec,0,,,,
69188,248003_7952,19405694_7952,Wieliczka Centrum Dworzec,0,,,,
69188,248003_7952,19405695_7952,Wieliczka Centrum Dworzec,0,,,,
69188,248003_7952,19405696_7952,Wieliczka Centrum Dworzec,0,,,,
69188,248003_7952,19405697_7952,Wieliczka Centrum Dworzec,0,,,,
69188,248003_7952,19405698_7952,Wieliczka Centrum Dworzec,0,,,,
69188,248003_7952,19405699_7952,Wieliczka Centrum Dworzec,0,,,,
69188,248003_7953,19405700_7953,Wieliczka Centrum Dworzec,0,,,,
69188,248003_7953,19405701_7953,Wieliczka Centrum Dworzec,0,,,,
69188,248003_7953,19405702_7953,Wieliczka Centrum Dworzec,0,,,,
69188,248003_7953,19405703_7953,Wieliczka Centrum Dworzec,0,,,,
69188,248003_7954,19405704_7954,Wieliczka Centrum Dworzec,0,,,,
69188,248003_7954,19405705_7954,Wieliczka Centrum Dworzec,0,,,,
69188,248003_7954,19405706_7954,Wieliczka Centrum Dworzec,0,,,,
113643,254535_7954,20017053_7954,Vysoké Tatry Starý Smokovec aut.st.,0,,,,
113643,254535_7954,20017054_7954,Vysoké Tatry Starý Smokovec aut.st.,0,,,,
113643,254535_7953,20017055_7953,Vysoké Tatry Starý Smokovec aut.st.,0,,,,
113643,254535_7953,20017056_7953,Vysoké Tatry Starý Smokovec aut.st.,0,,,,
113643,254535_7954,20017057_7954,Nowy Targ Dworzec Kolejowy,0,,,,
113643,254535_7954,20017058_7954,Nowy Targ Dworzec Kolejowy,0,,,,
113643,254535_7953,20017059_7953,Nowy Targ Dworzec Kolejowy,0,,,,
