service_id,date,exception_type
2023_2024_1512864,20240930,1
2023_2024_1512864,20241001,1
2023_2024_1512864,20241002,1
2023_2024_1512864,20241003,1
2023_2024_1512864,20241004,1
2023_2024_1512864,20241007,1
2023_2024_1512864,20241008,1
2023_2024_1512864,20241009,1
2023_2024_1512864,20241010,1
2023_2024_1512864,20241011,1
2023_2024_1512864,20241014,1
2023_2024_1512864,20241015,1
2023_2024_1512864,20241016,1
2023_2024_1512864,20241017,1
2023_2024_1512864,20241018,1
2023_2024_1512864,20241021,1
2023_2024_1512864,20241022,1
2023_2024_1512864,20241023,1
2023_2024_1512864,20241024,1
2023_2024_1512864,20241025,1
2023_2024_1512864,20241028,1
2023_2024_1512864,20241029,1
2023_2024_1512864,20241030,1
2023_2024_1512864,20241031,1
2023_2024_1512864,20241104,1
2023_2024_1512864,20241105,1
2023_2024_1512864,20241106,1
2023_2024_1512864,20241107,1
2023_2024_1512864,20241108,1
2023_2024_1522864,20240902,1
2023_2024_1521399,20240909,1
2023_2024_1521399,20240910,1
2023_2024_1521399,20240911,1
2023_2024_1513089,20240916,1
2023_2024_1513089,20240917,1
2023_2024_1521068,20240909,1
2023_2024_1521068,20240910,1
2023_2024_1521068,20240911,1
2023_2024_1521124,20240918,1
2023_2024_1521124,20240919,1
2023_2024_1521124,20240920,1
2023_2024_1521124,20240923,1
2023_2024_1521124,20240924,1
2023_2024_1521124,20240925,1
2023_2024_1153148,20240826,1
2023_2024_1153148,20240827,1
2023_2024_1153148,20240828,1
2023_2024_1153148,20240829,1
2023_2024_1153148,20240830,1
2023_2024_1542279,20240902,1
2023_2024_1542279,20240903,1
2023_2024_1542279,20240904,1
2023_2024_1542279,20240905,1
2023_2024_1542279,20240909,1
2023_2024_1542279,20240910,1
2023_2024_1542147,20241014,1
2023_2024_1542147,20241015,1
2023_2024_1542147,20241016,1
2023_2024_1542147,20241017,1
2023_2024_1542147,20241018,1
2023_2024_1542147,20241021,1
2023_2024_1542147,20241022,1
2023_2024_1542147,20241023,1
2023_2024_1542147,20241024,1
2023_2024_1542147,20241025,1
2023_2024_1542147,20241028,1
2023_2024_1542147,20241029,1
2023_2024_1542147,20241030,1
2023_2024_1542147,20241031,1
2023_2024_1529175,20240901,1
2023_2024_1521140,20240902,1
2023_2024_1530164,20241028,1
2023_2024_1530164,20241029,1
2023_2024_1530164,20241030,1
2023_2024_1530164,20241031,1
2023_2024_1522294,20241001,1
2023_2024_1522294,20241002,1
2023_2024_1522294,20241003,1
2023_2024_1530354,20240902,1
2023_2024_1522873,20241004,1
2023_2024_1522873,20241007,1
2023_2024_1522639,20241003,1
2023_2024_1513096,20241010,1
2023_2024_1513096,20241011,1
2023_2024_1521299,20240909,1
2023_2024_1521299,20240910,1
2023_2024_1521299,20240911,1
2023_2024_1530394,20240907,1
2023_2024_1530394,20240908,1
2023_2024_1522726,20240903,1
2023_2024_1522726,20240904,1
2023_2024_1529663,20241005,1
2023_2024_1529663,20241006,1
2023_2024_1521196,20240906,1
2023_2024_1521196,20240909,1
2023_2024_930044,20240826,1
2023_2024_930044,20240827,1
2023_2024_930044,20240828,1
2023_2024_930044,20240829,1
2023_2024_930044,20240830,1
2023_2024_1530336,20241004,1
2023_2024_1530336,20241007,1
2023_2024_1035870,20240831,1
2023_2024_931138,20240831,1
2023_2024_1529126,20240928,1
2023_2024_1529126,20240929,1
2023_2024_1529235,20241027,1
2023_2024_1529235,20241101,1
2023_2024_1529235,20241102,1
2023_2024_1529235,20241103,1
2023_2024_1529235,20241109,1
2023_2024_1522923,20241004,1
2023_2024_1522923,20241007,1
2023_2024_1522937,20241004,1
2023_2024_1522937,20241007,1
2023_2024_1522937,20241008,1
2023_2024_1522937,20241009,1
2023_2024_1522937,20241010,1
2023_2024_1522937,20241011,1
2023_2024_945001,20240828,1
2023_2024_945001,20240829,1
2023_2024_609150,20240831,1
2023_2024_1513422,20240901,1
2023_2024_1513422,20240907,1
2023_2024_1513422,20240908,1
2023_2024_1513422,20240914,1
2023_2024_1513422,20240915,1
2023_2024_1513422,20240921,1
2023_2024_1513422,20240922,1
2023_2024_1513422,20240928,1
2023_2024_1513422,20240929,1
2023_2024_1513422,20241005,1
2023_2024_1513422,20241006,1
2023_2024_1513422,20241012,1
2023_2024_1513422,20241013,1
2023_2024_1513422,20241019,1
2023_2024_1513422,20241020,1
2023_2024_1513422,20241026,1
2023_2024_1513422,20241027,1
2023_2024_1513422,20241101,1
2023_2024_1513422,20241102,1
2023_2024_1513422,20241103,1
2023_2024_1513422,20241109,1
2023_2024_1513392,20240921,1
2023_2024_1513392,20240922,1
2023_2024_1522217,20240902,1
2023_2024_1522217,20240903,1
2023_2024_1522217,20240904,1
2023_2024_1522217,20240905,1
2023_2024_1522217,20240906,1
2023_2024_1522217,20240910,1
2023_2024_1522217,20240911,1
2023_2024_1522217,20240912,1
2023_2024_1522217,20240913,1
2023_2024_1522217,20240916,1
2023_2024_1522217,20240917,1
2023_2024_1522217,20240918,1
2023_2024_1522217,20240919,1
2023_2024_1522217,20240920,1
2023_2024_1522217,20240923,1
2023_2024_1522217,20240924,1
2023_2024_1522217,20240925,1
2023_2024_1522217,20240926,1
2023_2024_1522217,20240927,1
2023_2024_1522217,20240930,1
2023_2024_1522217,20241001,1
2023_2024_1522217,20241002,1
2023_2024_1522217,20241003,1
2023_2024_1522217,20241004,1
2023_2024_1522217,20241007,1
2023_2024_1522217,20241008,1
2023_2024_1522217,20241009,1
2023_2024_1522217,20241010,1
2023_2024_1522217,20241011,1
2023_2024_1522217,20241014,1
2023_2024_1522217,20241015,1
2023_2024_1522217,20241016,1
2023_2024_1522217,20241017,1
2023_2024_1522217,20241018,1
2023_2024_1522217,20241021,1
2023_2024_1522217,20241022,1
2023_2024_1522217,20241023,1
2023_2024_1522217,20241024,1
